Year,Item,Producer Price (USD/tonne),Consumer Price Index (2015=100),Production Value (1000 USD),Climate Emissions (kt),Input Price (USD)
2006,Raw milk of cattle,666.9199811801876,90.66935973704898,147570.5211271763,99.31774146691419,787.4306061575506
2019,"Beans, dry",708.8367867898288,76.46028008483474,137803.0869503434,157.1167697101451,771.7921317017673
2014,"Meat of cattle with the bone, fresh or chilled (biological)",635.2852702870734,79.823080164717,136677.98890937373,124.84620404777137,784.0437040004712
2010,Raw milk of cattle,690.7081208248745,72.92638804543688,147152.35855172493,137.15411609366373,790.6141864650673
2007,"Pistachios, in shell",705.5128156095108,90.25413957672721,147535.0640313051,272.04079223569954,829.5910288015573
2020,Natural honey,693.9631130790366,79.55993346098799,152970.72104647552,192.98034257344952,840.1470373670771
2006,Tomatoes,742.2138780925268,106.15841401040541,148660.96029754213,218.30901334252883,803.1400428774018
2018,"Cassava, fresh",656.6045077810833,98.64440401066746,145914.17249873464,212.968515507292,796.4346089448942
2022,"Cassava, fresh",701.1920553406302,91.50887198751933,141915.22487213858,166.69249121087813,789.248640175038
2010,Sweet potatoes,669.2901916025817,80.59436755011714,154158.28643363132,149.7496193959482,812.7406037887396
2010,Bananas,709.4750929534043,98.26445459001852,151307.4823227147,184.18226795788522,840.0184246243525
2023,Sweet potatoes,672.2422407911831,102.91716335050353,140431.57870372146,180.1580758614541,831.9638146082876
2020,Tomatoes,660.8366372069502,94.69697619329843,146853.04473351676,143.295266506564,819.0063290366388
2003,"Seed cotton, unginned",711.6550767789731,116.61217784227793,147383.48725009608,178.2279288881724,818.7128474067994
2007,Palm kernels,657.7260524922564,99.45120978139622,144934.95780943523,136.41905203001477,812.8929945096045
2023,"Meat of chickens, fresh or chilled",630.0911378958076,106.26075827379448,150522.47852149757,163.1626408327874,795.3009838703515
2002,Rice,656.9675041676094,94.56013124331365,150821.8917842045,154.97136363896254,781.5158323337063
2021,"Cow peas, dry",691.0438990604802,102.69161680912862,145710.79760343806,108.29190773454043,795.8305149979634
2020,Palm oil,714.2340732104369,80.60493152023633,145258.8798634753,54.17762670922089,804.6935888271493
2001,"Hen eggs in shell, fresh",675.8067919217197,85.68067456208206,154158.01840580124,124.78237486784442,767.1741188101563
2023,"Meat of goat, fresh or chilled (biological)",712.018822679845,97.79710331250966,151327.42055427478,261.94077059414445,793.187782197198
2011,"Meat of goat, fresh or chilled (biological)",631.7276630184964,97.6881422336347,147025.02804200552,156.251448262993,779.7281496926967
2005,Cocoa beans,659.1750067182871,100.17082735442268,138517.1808970633,210.5339454096496,816.523620005885
2001,Tomatoes,663.8156571482012,109.0625433944549,148383.22662398877,65.51328021016147,785.252628741388
2020,"Pistachios, in shell",669.0361278386487,71.18208243304278,150153.64341705194,121.321233966613,802.8112034241419
2000,"Cotton lint, ginned",674.9957423103301,77.93986179611953,132890.61795047173,104.01105649671186,782.2463909258106
2011,Plantains and cooking bananas,693.20023938459,96.00023962638777,147922.5733340537,161.62053686047363,828.2007833037405
2021,"Onions and shallots, dry (excluding dehydrated)",659.1287055177095,81.69119553322206,144579.7661584849,292.83331139159156,762.2316580538305
2011,"Onions and shallots, dry (excluding dehydrated)",676.643771271418,143.2231736296144,145558.95469181583,194.74748452622526,805.7636043214015
2016,"Meat of cattle with the bone, fresh or chilled (biological)",671.1192239531027,100.29244429782601,142126.321328647,256.5161640287337,770.7016434157235
2009,Unmanufactured tobacco,644.6962135460898,91.38168727632161,145922.27964044537,159.01370098054622,786.0601437748252
2015,"Seed cotton, unginned",669.0629099903812,84.82461091401608,153623.18397337024,239.97900605758298,800.3705308582123
2014,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",668.1631247659107,85.3542157623783,144431.23359838602,275.3983726989739,801.353937410859
2014,Bananas,667.5204937127329,93.00875993000163,151491.0938864295,166.26708404430647,800.8321336064305
2018,Palm oil,673.4256943602678,94.23637899959283,142631.56999806553,144.77230180346115,799.2817796040322
2011,"Cotton lint, ginned",674.7431168812258,85.70616283987127,150457.00705574377,105.84499051532174,783.4099115470533
2022,Palm kernels,659.5040552896044,88.45936631247544,146671.50537057334,156.28252443598092,792.9657303227459
2019,Tomatoes,710.6543526819622,112.72091863879291,148423.35023640998,175.83037112486895,796.8794771081004
2002,"Meat of goat, fresh or chilled (biological)",637.3884917867338,113.32422445003948,146698.99237295103,273.2832182322868,800.1540047196999
